rulename,diff,lwr,upr,padj
愛-喜び,0.6,-6.511497019,7.711497019,1
感動-喜び,2.6,-4.511497019,9.711497019,0.99996793
信頼-喜び,3,-4.111497019,10.11149702,0.999460973
優越-喜び,4.6,-2.511497019,11.71149702,0.822060278
好奇心-喜び,4.8,-2.311497019,11.91149702,0.75127011
期待（予測）-喜び,5,-2.111497019,12.11149702,0.670875841
楽観-喜び,6.1,-1.011497019,13.21149702,0.234217885
自尊心-喜び,7.3,0.188502981,14.41149702,0.035634852
運命-喜び,7.3,0.188502981,14.41149702,0.035634852
驚き-喜び,8.3,1.188502981,15.41149702,0.004727568
感傷-喜び,15.3,8.188502981,22.41149702,4.40E-12
不安-喜び,15.7,8.588502981,22.81149702,1.71E-12
不健全-喜び,16,8.888502981,23.11149702,1.14E-12
皮肉-喜び,16.1,8.988502981,23.21149702,1.07E-12
後悔-喜び,16.7,9.588502981,23.81149702,8.84E-13
罪悪感-喜び,16.8,9.688502981,23.91149702,8.79E-13
服従-喜び,17.5,10.38850298,24.61149702,8.88E-13
攻撃-喜び,18.3,11.18850298,25.41149702,8.72E-13
軽蔑-喜び,19,11.88850298,26.11149702,8.74E-13
恐れ-喜び,19.4,12.28850298,26.51149702,8.59E-13
怒り-喜び,19.6,12.48850298,26.71149702,8.39E-13
畏怖-喜び,21,13.88850298,28.11149702,6.88E-13
悲観-喜び,22,14.88850298,29.11149702,6.02E-13
拒絶-喜び,22.6,15.48850298,29.71149702,5.84E-13
嫌悪-喜び,22.7,15.58850298,29.81149702,5.80E-13
悲しみ-喜び,22.8,15.68850298,29.91149702,5.79E-13
憤慨-喜び,23.9,16.78850298,31.01149702,5.75E-13
恥辱-喜び,24.7,17.58850298,31.81149702,5.75E-13
悲憤-喜び,25.2,18.08850298,32.31149702,5.75E-13
憎悪-喜び,25.8,18.68850298,32.91149702,5.75E-13
絶望-喜び,29.3,22.18850298,36.41149702,5.75E-13
感動-愛,2,-5.111497019,9.111497019,0.999999922
信頼-愛,2.4,-4.711497019,9.511497019,0.999994326
優越-愛,4,-3.111497019,11.11149702,0.956817624
好奇心-愛,4.2,-2.911497019,11.31149702,0.925182093
期待（予測）-愛,4.4,-2.711497019,11.51149702,0.880432875
楽観-愛,5.5,-1.611497019,12.61149702,0.45467967
自尊心-愛,6.7,-0.411497019,13.81149702,0.099354305
運命-愛,6.7,-0.411497019,13.81149702,0.099354305
驚き-愛,7.7,0.588502981,14.81149702,0.016582864
感傷-愛,14.7,7.588502981,21.81149702,3.10E-11
不安-愛,15.1,7.988502981,22.21149702,8.14E-12
不健全-愛,15.4,8.288502981,22.51149702,3.35E-12
皮肉-愛,15.5,8.388502981,22.61149702,2.60E-12
後悔-愛,16.1,8.988502981,23.21149702,1.07E-12
罪悪感-愛,16.2,9.088502981,23.31149702,1.00E-12
服従-愛,16.9,9.788502981,24.01149702,8.87E-13
攻撃-愛,17.7,10.58850298,24.81149702,8.82E-13
軽蔑-愛,18.4,11.28850298,25.51149702,8.84E-13
恐れ-愛,18.8,11.68850298,25.91149702,8.71E-13
怒り-愛,19,11.88850298,26.11149702,8.74E-13
畏怖-愛,20.4,13.28850298,27.51149702,7.71E-13
悲観-愛,21.4,14.28850298,28.51149702,6.45E-13
拒絶-愛,22,14.88850298,29.11149702,6.02E-13
嫌悪-愛,22.1,14.98850298,29.21149702,5.97E-13
悲しみ-愛,22.2,15.08850298,29.31149702,5.89E-13
